,url,name,sku,parsed_duration,parsed_price,objectives,processed_price,processed_duration
0,http://www.comundi.fr/formation-ventes-de-haut-niveau/roi-selling-convaincre-avec-l-argument-financier.html,ROI Selling: convaincre avec l'argument financier,DS23,"
                                                                                                    Cette formation est disponible en intra-établissement seulement
                                                                                            ",,"<ul><li>Maitriser le vocabulaire financier pour convaincre à haut niveau
</li><li>Analyser la rentabilité de la solution en termes de ROI
</li><li>Construire une argumentation impactante et un montage financier convaincant</li></ul>",0.0,0.0
1,http://www.comundi.fr/formation-ventes-de-haut-niveau/integrez-la-logique-achat-dans-vos-negociations-commerciales.html,Intégrez la logique achat dans vos négociations commerciales,2248,"
                                                                                                    Cette formation est disponible en intra-établissement seulement
                                                                                            ",,"<ul><li>Mieux comprendre les leviers d'action des acheteurs</li><li>Anticiper les attentes des acheteurs dans la construction de son offre
</li><li>S'affirmer face aux acheteurs professionnels en phase de négociation</li></ul>",0.0,0.0
2,http://www.comundi.fr/formation-qualite-des-processus-et-des-fournisseurs/pratiquer-un-audit-qualite-fournisseur.html,Pratiquer un Audit Qualité fournisseur,JR65,"
                                                                                                    Cette formation est disponible en intra-établissement seulement
                                                                                            ",,"<ul><li>Structurer la phase préparatoire de vos audits
</li><li>Conduire vos audits avec efficacité
</li><li>Obtenir une amélioration significative de vos processus fournisseurs</li></ul>",0.0,0.0
3,http://www.comundi.fr/formation-pilotage-strategique-et-management-des-etablissements-1/vae-cafdes-s-entrainer-a-l-oral-pour-reussir-l-entretien-face-au-jury.html,VAE CAFDES: s’entraîner à l’oral pour réussir l’entretien face au jury,BR42,"
                                                                                                    Cette formation est disponible en intra-établissement seulement
                                                                                            ",,"<ul><li>Evaluer son livret 2 et anticiper les critiques</li><li>Mettre en œuvre une stratégie de complémentarité par rapport à ce livret
</li><li>Préparer l'exposé à effectuer au cours de l'épreuve orale
</li><li>S'entraîner en groupe à répondre à des questions en relation avec l'écrit
</li><li>Se préparer à passer l'oral avec tous les atouts possibles</li></ul>",0.0,0.0
4,http://www.comundi.fr/formation-ressources-humaines-secteur-public-1/preparez-vous-aux-selections-professionnelles.html,Préparez-vous aux sélections professionnelles,2293,"
                                                                                                    Cette formation est disponible en intra-établissement seulement
                                                                                            ",,"<ul>
<li>Comprendre les attendus du jury des sélections professionnelles</li>
<li>Adopter les connaissances, la posture du poste visé</li>
<li>Prendre confiance en soi pour être convaincant à l’oral</li>
</ul>",0.0,0.0
5,http://www.comundi.fr/formation-expertise-metiers-personnes-agees-et-personnes-handicapees-1/medecin-coordonnateur-en-ehpad.html,Médecin Coordonnateur en EHPAD,2022,"
                                                                                                    3 jours - 21 h
                                                                                            ","2 245.00
                                                     € ","<ul><li>Mutualiser vos retours d'expériences avec vos pairs
</li><li>Prendre du recul sur votre fonction 
</li><li>Renforcer votre posture de manager</li></ul>",2245.0,21.0
6,http://www.comundi.fr/formation-expertise-metiers-personnes-agees-et-personnes-handicapees-1/infirmiere-coordinatrice-en-ssiad.html,Infirmière coordinatrice en SSIAD,GI32,"
                                                                                                    3 jours - 21 h
                                                                                            ","2 245.00
                                                     € ","<ul><li>Optimiser la gestion quotidienne de votre service ou secteur
</li><li>Gestion du personnel : aspects juridiques et contractuels
</li><li>Diriger votre équipe de soins au quotidien
</li><li>Définir votre profil et vous positionner en tant que manager de proximité</li></ul>",2245.0,21.0
7,http://www.comundi.fr/formation-protection-des-donnees-si/formation-failles-de-securite-nouvelles-obligations-du-traitement-des-donnees-personnelles.html,Formation : Failles de sécurité : nouvelles obligations du traitement des données personnelles,GO65,"
                                                                                                    1 jour - 7 h
                                                                                            ","1 195.00
                                                     € ","<ul>
<li>Divulgation des failles de sécurité : enjeux et recommandations pratiques</li>
<li>Maîtriser les nouvelles obligations de sécurité des données à caractère personnel, suite à la publication du nouveau règlement européen</li>
<li>Identifier les traitements de données impliquant un fort niveau de protection</li>
</ul>",1195.0,7.0
8,http://www.comundi.fr/formation-marketing-multicanal-et-relationnel/formation-tirez-profit-de-vos-donnees-clients.html,Formation : Tirez profit de vos données clients,2187,"
                                                                                                    2 jours - 14 h
                                                                                            ","1 795.00
                                                     € ","<ul><li>Utiliser les sources d'information sur vos clients et savoir prioriser leur exploitation 
</li><li>Exploiter vos données clients par des méthodes et actions simples sur les 4P
</li><li>Mesurer et revendre en interne le ROI de votre connaissance client</li></ul>",1795.0,14.0
9,http://www.comundi.fr/formation-leadership-et-influence/osez-la-confrontation-creative.html,Osez la confrontation créative !,RS49,"
                                                                                                    2 jours - 14 h
                                                                                            ","1 595.00
                                                     € ","<ul><li>Apprivoiser le conflit</li><li>Franchir le mur des émotions
</li><li>Privilégier l'étincelle créative à la langue de bois</li></ul>",1595.0,14.0
10,http://www.comundi.fr/formation-gestion-du-domaine-public/operations-immobilieres-des-biens-publics.html,Opérations immobilières des biens publics,4365,"
                                                                                                    Cette formation est disponible en intra-établissement seulement
                                                                                            ",,"<ul>
<li>Maîtriser les différents critères afin de caractériser son opération immobilière</li>
<li>Sécuriser vos pratiques afin de mener à bien votre projet</li>
<li>Des formalités préalables à l’encaissement, réussir pas à pas son opération immobilière</li>
</ul>",0.0,0.0
11,http://www.comundi.fr/formation-preparation-concours-et-examens-fonction-publique-1/examen-professionnel-d-agent-de-maitrise-territorial-ecrit-oral.html,Examen professionnel d’agent de maîtrise territorial - Ecrit & Oral,MBPR,"
                                                                                                    Cette formation est disponible en intra-établissement seulement
                                                                                            ",,<ul><li>S'entraîner en vue de l'examen professionnel d'agent de maîtrise territorial</li><li>S'exercer à la résolution d'un cas pratique à partir d'un dossier</li><li>S'entraîner à l'entretien devant jury via des oraux blancs </li></ul>,0.0,0.0
12,http://www.comundi.fr/formation-protection-des-donnees-secteur-public/sensibilisation-a-la-rgpd-formation-intensive.html,Sensibilisation à la RGPD : formation intensive,4817,"
                                                                                                    4 heures
                                                                                            ","299.00
                                                     € ","<ul>
<li>Appréhender les risques d’une mauvaise conformité au règlement (sanctions, responsabilités…)</li>
<li>Cartographier les leviers pour faciliter la transition et éviter les sanctions de la CNIL </li>
<li>Permettre la pérennité des solutions mises en place au sein de votre entreprise</li>
</ul>",299.0,4.0
13,http://www.comundi.fr/formation-marketing-multicanal-et-relationnel/formation-strategie-e-crm.html,Formation : Stratégie e-CRM,ZA06,"
                                                                                                    2 jours - 14 h
                                                                                            ","1 795.00
                                                     € ","<ul>
<li>Décrypter les tendances e-CRM : comportements consommateurs et nouveaux médias</li>
<li>Concevoir une stratégie e-CRM pertinente et génératrice de valeur</li>
<li>Mesurer l’efficacité et le ROI de ses actions d’e-CRM</li>
</ul>",1795.0,14.0
